id,name,faction_id,faction
537,Vasile Bolea,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
540,Lilian Carp,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
546,Alla Dolinţă,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
548,Corneliu Furculiţă,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
549,Fiodor Gagauz,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
560,Radu Mudreac,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
562,Grigore Novac,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
563,Vladimir Odnostalco,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
570,Eduard Smirnov,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
574,Bogdat Ţîrdea,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
801,Dumitru Alaiba,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
803,Reghina Apostolova,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
804,Vladimir Bolea,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
807,Petru Burduja,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
813,Vadim Fotescu,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
814,Petru Frunze,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
816,Doina Gherman,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
818,Igor Grosu,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
819,Ion Groza,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
821,Petru Jardan,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
824,Ivanna Koksal,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
826,Sergiu Litvinenco,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
827,Irina Lozovan,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
829,Radu Marian,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
838,Dan Perciun,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
839,Alla Pilipețcaia,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
842,Adela Răileanu,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
845,Veronica Roșca,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
849,Alexandr Suhodolski,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
850,Ilan Șor,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
852,Marina Tauber,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
855,Denis Ulanov,15,"Fracțiunea parlamentară a Partidului Politic ""ȘOR"""
860,Oazu Nantoi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
913,Alla Darovannaia,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
928,Galina Sajin,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
944,Virgiliu Pâslariuc,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1020,Marcela Adam,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1021,Gheorghe Agheorghiesei,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1022,Ion Babici,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1023,Efimia Bandalac,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1024,Adrian Băluțel,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1025,Adrian Belîi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1026,Dumitru Budianschi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1027,Oleg Canațui,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1028,Victoria Cazacu,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1029,Artemie Cătănoi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1030,Andrian Cheptonar,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
